,projectID,projectAcronym
4111,772676,QUEM-CHEM
4114,758212,PyraSig
4129,741454,SILVER
4185,783190,PRYSTINE
4245,710059,PRISMA
4250,671603,ALLScale
4258,727830,FIThydro
4284,714666,EMTECH
4300,758053,QUNNECT
4302,684723,CYPRES
4304,705010,Detect and React
4364,831138,SCENE
4409,700044,MassLOC
4452,657027,CoEvolFramework
4453,692995,BAYNET
4482,828818,SHERO
4554,668970,PROVIDES
4620,727958,BioReg
4634,694078,SOLCRIMET
4637,689785,SALTGAE
4658,636808,O2RIGIN
4672,676401,ETN-FPI
4690,807091,ECO GAM 2018
4693,656244,ARSENICLOSS
4708,723384,MyCorridor
4745,776714,C-SERVEES
4783,723582,VEEP
4817,634113,GermAge
4821,658986,HOARDEVOL
4823,730829,DESTINATE
4833,643309,NoHoW
4850,644047,INTO-CPS
4875,716980,CASCAde
4895,657309,GLOBALGLASS
4908,656397,THISTLE
4910,677124,SEEVCA
4912,700191,STORM
4932,701419,PrinTeam
4934,742288,EVOSOM
4935,703187,COMPUS
4936,704696,RESOLVE
4941,685579,REvivED water
4957,778322,CARE4C
4975,749699,WACO
4976,706011,PalmHydraulics
4977,770765,highECS
4978,766617,CARBAT
4987,706351,Cyano4REST
4988,678889,CLIMASLOW
4990,732223,CROSSMINER
5004,705427,ReadyToGo
5005,691728,DESTRESS
5024,643963,SWITCH
5031,635201,LANDMARK
5054,691503,BeLEADFREE
5073,675006,SE2B
5088,753615,LODALORD
5097,688146,PHANTOM
5106,746821,LEAF-OF-LIFE
5109,644332,OpenAIS
5127,723541,DISRUPT
5136,675731,HYDRA
5139,702755,DILIPHO
5141,679814,SOLENALGAE
5143,822390,MICROPROD
5156,636932,RADICLE
5180,640462,ButaNexT
5191,735105,Trans C4
5197,777413,DARE
5215,679302,iSAGE
5253,807090,FRC GAM 2018
5273,723828,A4BLUE
5297,635536,EmPowerPutida
5312,694181,MUC2GO
5313,726368,BETACONTROL
5316,687681,LoveFood2Market
5326,773713,PANDORA
5352,692022,TwinnToInfect
5371,764840,IGNITE
5393,679243,RNAEPIGEN
5407,804744,ARBODYNAMIC
5411,730323,FiberEUse
5433,721105,COMPOSELECTOR
5446,794354,MUST
5447,734164,Graphene 3D
5459,738220,WIN-TOOL
5463,778068,DiCoMI
5482,741284,UltraSafe
5484,639495,INTHERM
5485,647426,3D-JOINT
5505,768737,RECOTRANS
5529,646769,TUNEMEM
5549,679451,FLEXOCOMP
5560,706788,NPMSSES
5561,705861,ASPAir
5562,689810,PEPPER
5592,763989,APOLO
5647,788986,DIDONE
5706,708844,DCNextEve
5714,754315,DSSC
5785,642201,OptimOre
5793,800983,EVO-NANO
5861,703236,INSTINCT
5871,795936,InfCSP
5897,676580,NoMaD
5908,656354,ClOThIlde
5951,823383,AI4EMS
5990,646531,UPGRID
6010,681988,CSP-Infinity
6054,690974,MIREL
6085,703937,DaphNet
6087,730497,NAIAD
6112,732204,Bonseyes
6131,699924,SINet
6144,654339,QUTEMAG
6155,777096,FASTEN
6165,737570,INTERSPINE
6172,657263,GATEWAY
6180,667205,WATER
6183,704566,AlgDates
6184,658475,ClimatCon
6187,659328,STAR
6190,780360,ExoSonic
6193,661191,Q-MoPS
6194,655474,FluoroCAT
6213,657768,PEARS
6214,746667,AF-Cyber
6215,658554,N-SHEAD
6228,682938,EVALVE
6257,841040,ELOTEQ
6260,691210,PEOPLE
6265,654465,LEILAC
6280,691058,MOMENDO
6289,725762,LIGNINFIRST
6291,677677,NanoPP
6293,733006,PACE
6303,797044,Plasmonic Reactor
6313,679242,inHForm
6314,681654,HyperQC
6316,756762,MTrix
6318,661160,MetAccembly
6348,754881,ADAPT
6352,682537,BOPNIE
6365,677471,TERRA
6374,640720,Photofuel
6386,661674,RACe
6389,713843,SCOUT
6403,727284,DIVERSify
6427,692251,DOSSIER-Cloud
6430,644055,ALIGNED
6469,699238,AUTOPACE
6484,687613,TresClean
6493,690199,GROW
6513,770680,RESPECT
6526,665238,CompInnova
6538,737881,SIMFAL
6540,723737,HUMAN
6553,767170,D-PAL
6554,727312,EUCLEG
6611,737417,R3-PowerUP
6663,687409,EASY Pv
6678,716388,EDST
6692,664536,ARTEMIDA
6715,704111,InfTy
6717,755556,ICOPE
6722,648283,GROWMOF
6723,812837,FUNCOMP
6725,721902,FLUDD
6728,722651,SEPOMO
6739,771468,HEY BABY
6742,743016,CartiLube
6745,809965,LAMBDA
6750,633196,CATCH ME
6759,758462,ONEDEGGAM
6762,724949,WEALTHPOL
6764,681337,CityNet
6765,637334,GADGET
6766,727069,ISOTIS
6784,659225,Crystal Solar
6795,701221,NET4IQ
6799,706552,APPEL
6800,771575,PROMOFS
6801,787342,DOCUMULT
6803,639003,DEEP TIME
6805,652986,STEMCELLTRACK
6826,675867,INFORM
6840,658133,FUTURESYRIA
6841,825392,RESHAPE
6851,647678,CC
6852,676632,RanDM
6854,681814,EURO-EXPERT
6858,777717,CTFF
6871,787504,FMSystem
6872,655396,COPAST
6873,638578,SoSGlobal
6874,765075,LIMQUET
6885,708585,EPIDYN
6887,688712,TRIANGLE
6894,645757,VIVOIMAG
6902,648901,FOREMAT
6903,840374,DYNACLIM
6922,695536,4D-PET
6923,890815,HABISS
6946,653950,URBANCO2FLUX
6952,722609,INTRICARE
6956,648613,QUMIN
6957,692293,VACTRAIN
6964,772209,PREVENT RA
6966,715024,RAPID
6979,693038,LocomotorIntegration
6981,695096,Neurogenesis
6983,665046,Symbiotic
6995,740898,DEFENDER
7015,704978,SMILED
7016,649116,PROGSY
7017,731626,HIVACAR
7032,687777,PICs4All
7043,731726,REELER
7048,758461,SeeSuper
7059,669255,MPCPRO
7061,707663,ANATOMY-FOUND
7074,660339,eADAM
7075,825469,SOMA
7082,764734,HyFlexFuel
7092,792880,NOISE
7112,720834,CUPIDO
7125,785902,MQC
7126,746872,SedSulphOx
7141,639766,TransCTNeurodev
7142,726320,hPSCreg
7144,758985,TrueBrainConnect
7145,683049,BrainModes
7146,714560,DeepLight
7147,634886,GLORIA
7172,826093,ASCLEPIOS
7183,823902,OPEN
7191,657605,Intentions in Action
7196,678073,PrenatStressAging
7202,824488,Path2Integrity
7224,660608,WATER INCENT
7243,761413,SaT5G
7262,789863,POHP
7293,799850,PORTAL
7313,678763,NANOthermMA
7327,693426,Playfields
7328,637313,ENTANGLED-TM-ALKANE
7331,655138,FACADE FIRE
7332,656067,NOVENA
7335,659054,LHCbBaryonAmplitudes
7337,747931,TSPBNTM
7341,754510,PROBIST
7347,757254,SINGULARITY
7348,669306,IntRanSt
7351,814236,NanoCarb
7367,639907,complexNMR
7376,665884,ICFOstepstone
7410,713729,ICFOstepstone
7415,703018,NANOPTO
7416,658258,EPICA
7421,757743,MalPar.NET
7422,748671,LEEP
7423,709192,HEMOTECT
7427,752472,NEURO-SWARM
7429,659677,BactoDrug
7430,722416,CHEurope
7459,633152,GEOFLUIDS
7460,727600,FLEDGED
7479,654615,EVOPRIMPOL
7488,690013,ORISON
7492,659008,SocForVul
7493,748429,EMPHASIS
7496,708351,NANOTER
7497,656725,StarlightWinds
7499,656398,DDRR
7503,825671,SoNAR-Global
7519,771813,SynarchiC
7520,707128,PIGYVAX
7521,758457,CoSpaDD
7526,708128,ZF-ILC
7530,655417,GATTACA
7550,677823,CRISPAIR
7551,829157,TopSpec
7560,679980,RCSB
7562,747810,IAV-m6A
7564,727758,1toStopVax
7565,741447,REACT
7566,773083,BinD
7567,656300,PERS-RELICT-CLIM
7568,654927,PALMOBI
7575,639070,SUSTAINABLEOCEAN
7580,730243,NATURVATION
7594,638241,DTHPS
7597,636746,HUCO
7599,715254,DRY-2-DRY
7603,703015,NanoSiAl
7607,659106,GROUPIND
7608,793186,RNASTIP
7609,637483,TERRA
7611,746189,MicroPhan
7616,661322,ECBStrainShift
7618,669609,Diversity6continents
